partido,zona,empresa,extracto,iframe
General Guido,Zona 8,Gerónimo Rizzo S.A.,CAÑOS ENTREGADOS |   - 6 caños de chapa corrugada de ø800 mm. entregado el 03/11/25 |   - 10 caños de hormigón de ø800 mm. entregado el 03/11/25 | HORAS MÁQUINAS |   - 528 horas en ejecución desde 07/10/25 |   - 278 horas ejecutadas entre el 24/07/25 y el 24/08/25 |   A cargo de la empresa Gerónimo Rizzo S.A. | BOMBAS | 1 bombas marca EMA 1.800.000 LTS/HR ubicado en Corralon Municipal de Gral. Guido | 1 bombas marca PIVAS 2.000.000 LTS/HR ubicado en Corralon Municipal de Gral. Guido,
General La Madrid,Zona 6,Lurovial S.R.L.,CAÑOS ENTREGADOS |   - 14 caños de chapa corrugada de ø800 mm. entregado el 03/12/24,
General Las Heras,Zona 2 (centro),Marcalba S.A.,,
General Lavalle,Zona 8,Gerónimo Rizzo S.A.,,
General Madariaga,Zona 8,Gerónimo Rizzo S.A.,,
General Paz,Zona 2 (sur),Olivo Zamboano S.A.,,
General Pinto,Zona 7,Marcalba S.A.,,
General Pueyrredón,Zona 5,Gerónimo Rizzo S.A.,HORAS MÁQUINAS |   - 676 horas en ejecución desde 25/10/25 |   A cargo de la empresa Gerónimo Rizzo S.A.,
General Rodríguez,Zona 2 (norte),Gerónimo Rizzo S.A.,HORAS MÁQUINAS |   - 605 horas ejecutadas entre el 31/07/25 y el 20/08/25 |   A cargo de la empresa Gerónimo Rizzo S.A.,
General San Martín,Zona 2 (norte),Gerónimo Rizzo S.A.,HORAS MÁQUINAS |   - 225 horas ejecutadas entre el 03/09/25 y el 07/10/25 |   A cargo de la empresa Gerónimo Rizzo S.A.,
General Viamonte,Zona 3,Olivo Zamboano S.A.,CAÑOS ENTREGADOS |   - 55 caños de hormigón de ø1.000 mm. entregado el 04/04/25 | HORAS MÁQUINAS |   - 312 horas en ejecución desde 10/10/25 |   A cargo de la empresa Olivo Zamboano S.A.,
General Villegas,Zona 7,Marcalba S.A.,,
Guaminí,Zona 6,Lurovial S.R.L.,BOMBAS | 1 bombas marca EMA 1.800.000 LTS/HR ubicado en Corralon Municipal de Guamini | 1 bombas marca PIVAS 2.000.000 LTS/HR ubicado en Estacion de Bombeo de la Laguna del Monte | 2 bombas marca EMA 3.200.000 LTS/HR ubicado en Estacion de Bombeo de la Laguna del Monte | 1 bombas marca PIVAS 3.000.000 LTS/HR ubicado en Corralon Municipal de Guamini,
Hipólito Yrigoyen,Zona 7,Marcalba S.A.,HORAS MÁQUINAS |   - 318 horas en ejecución desde 22/10/25 |   A cargo de la empresa Marcalba S.A. | BOMBAS | 1 bombas marca PIVAS 3.000.000 LTS/HR ubicado en Ubicación desconocida,
Hurlingham,Zona 2 (norte),Gerónimo Rizzo S.A.,,
